CERTI,FROM CTS,TO CTS,COLOR,CLARITY,FLR,%
GIA,0.5,0.59,D,IF,NON,50
GIA,0.5,0.59,D,VVS1,NON,48
GIA,0.5,0.59,D,VVS2,NON,48
GIA,0.5,0.59,D,VS1,NON,48
GIA,0.5,0.59,D,VS2,NON,48
GIA,0.5,0.59,D,SI1,NON,51
GIA,0.5,0.59,D,SI2,NON,51
GIA,0.5,0.59,E,IF,NON,50
GIA,0.5,0.59,E,VVS1,NON,48
GIA,0.5,0.59,E,VVS2,NON,48
GIA,0.5,0.59,E,VS1,NON,48
GIA,0.5,0.59,E,VS2,NON,48
GIA,0.5,0.59,E,SI1,NON,51
GIA,0.5,0.59,E,SI2,NON,51
GIA,0.5,0.59,F,IF,NON,50
GIA,0.5,0.59,F,VVS1,NON,48
GIA,0.5,0.59,F,VVS2,NON,48
GIA,0.5,0.59,F,VS1,NON,48
GIA,0.5,0.59,F,VS2,NON,48
GIA,0.5,0.59,F,SI1,NON,51
GIA,0.5,0.59,F,SI2,NON,51
GIA,0.5,0.59,G,IF,NON,50
GIA,0.5,0.59,G,VVS1,NON,48
GIA,0.5,0.59,G,VVS2,NON,48
GIA,0.5,0.59,G,VS1,NON,47
GIA,0.5,0.59,G,VS2,NON,47
GIA,0.5,0.59,G,SI1,NON,51
GIA,0.5,0.59,G,SI2,NON,51
GIA,0.5,0.59,H,IF,NON,50
GIA,0.5,0.59,H,VVS1,NON,48
GIA,0.5,0.59,H,VVS2,NON,48
GIA,0.5,0.59,H,VS1,NON,47
GIA,0.5,0.59,H,VS2,NON,47
GIA,0.5,0.59,H,SI1,NON,51
GIA,0.5,0.59,H,SI2,NON,51
GIA,0.5,0.59,I,IF,NON,50
GIA,0.5,0.59,I,VVS1,NON,48
GIA,0.5,0.59,I,VVS2,NON,48
GIA,0.5,0.59,I,VS1,NON,47
GIA,0.5,0.59,I,VS2,NON,47
GIA,0.5,0.59,I,SI1,NON,51
GIA,0.5,0.59,I,SI2,NON,51
GIA,0.5,0.59,J,IF,NON,50
GIA,0.5,0.59,J,VVS1,NON,48
GIA,0.5,0.59,J,VVS2,NON,48
GIA,0.5,0.59,J,VS1,NON,47
GIA,0.5,0.59,J,VS2,NON,47
GIA,0.5,0.59,J,SI1,NON,51
GIA,0.5,0.59,J,SI2,NON,51
GIA,0.6,0.69,D,IF,NON,48
GIA,0.6,0.69,D,VVS1,NON,45
GIA,0.6,0.69,D,VVS2,NON,45
GIA,0.6,0.69,D,VS1,NON,45
GIA,0.6,0.69,D,VS2,NON,45
GIA,0.6,0.69,D,SI1,NON,48
GIA,0.6,0.69,D,SI2,NON,48
GIA,0.6,0.69,E,IF,NON,48
GIA,0.6,0.69,E,VVS1,NON,45
GIA,0.6,0.69,E,VVS2,NON,45
GIA,0.6,0.69,E,VS1,NON,45
GIA,0.6,0.69,E,VS2,NON,45
GIA,0.6,0.69,E,SI1,NON,48
GIA,0.6,0.69,E,SI2,NON,48
GIA,0.6,0.69,F,IF,NON,48
GIA,0.6,0.69,F,VVS1,NON,45
GIA,0.6,0.69,F,VVS2,NON,45
GIA,0.6,0.69,F,VS1,NON,45
GIA,0.6,0.69,F,VS2,NON,45
GIA,0.6,0.69,F,SI1,NON,48
GIA,0.6,0.69,F,SI2,NON,48
GIA,0.6,0.69,G,IF,NON,46
GIA,0.6,0.69,G,VVS1,NON,45
GIA,0.6,0.69,G,VVS2,NON,45
GIA,0.6,0.69,G,VS1,NON,44
GIA,0.6,0.69,G,VS2,NON,44
GIA,0.6,0.69,G,SI1,NON,48
GIA,0.6,0.69,G,SI2,NON,48
GIA,0.6,0.69,H,IF,NON,46
GIA,0.6,0.69,H,VVS1,NON,45
GIA,0.6,0.69,H,VVS2,NON,45
GIA,0.6,0.69,H,VS1,NON,44
GIA,0.6,0.69,H,VS2,NON,44
GIA,0.6,0.69,H,SI1,NON,48
GIA,0.6,0.69,H,SI2,NON,48
GIA,0.6,0.69,I,IF,NON,46
GIA,0.6,0.69,I,VVS1,NON,45
GIA,0.6,0.69,I,VVS2,NON,45
GIA,0.6,0.69,I,VS1,NON,44
GIA,0.6,0.69,I,VS2,NON,44
GIA,0.6,0.69,I,SI1,NON,48
GIA,0.6,0.69,I,SI2,NON,48
GIA,0.6,0.69,J,IF,NON,46
GIA,0.6,0.69,J,VVS1,NON,45
GIA,0.6,0.69,J,VVS2,NON,45
GIA,0.6,0.69,J,VS1,NON,44
