SHAPE,FROM CTS,TO CTS,COLOR,CLARITY,CUT,PRICE,DATE
RO,0.01,0.03,D,IF,EX,830, 8/30/2024
RO,0.01,0.03,D,VVS1,EX,830, 8/30/2024
RO,0.01,0.03,D,VVS2,EX,830, 8/30/2024
RO,0.01,0.03,D,VS1,EX,730, 8/30/2024
RO,0.01,0.03,D,VS2,EX,730, 8/30/2024
RO,0.01,0.03,D,SI1,EX,640, 8/30/2024
RO,0.01,0.03,D,SI2,EX,560, 8/30/2024
RO,0.01,0.03,D,SI3,EX,490, 8/30/2024
RO,0.01,0.03,D,I1,EX,430, 8/30/2024
RO,0.01,0.03,D,I2,EX,350, 8/30/2024
RO,0.01,0.03,D,I3,EX,280, 8/30/2024
RO,0.01,0.03,E,IF,EX,830, 8/30/2024
RO,0.01,0.03,E,VVS1,EX,830, 8/30/2024
RO,0.01,0.03,E,VVS2,EX,830, 8/30/2024
RO,0.01,0.03,E,VS1,EX,730, 8/30/2024
RO,0.01,0.03,E,VS2,EX,730, 8/30/2024
RO,0.01,0.03,E,SI1,EX,640, 8/30/2024
RO,0.01,0.03,E,SI2,EX,560, 8/30/2024
RO,0.01,0.03,E,SI3,EX,490, 8/30/2024
RO,0.01,0.03,E,I1,EX,430, 8/30/2024
RO,0.01,0.03,E,I2,EX,350, 8/30/2024
RO,0.01,0.03,E,I3,EX,280, 8/30/2024
RO,0.01,0.03,F,IF,EX,830, 8/30/2024
RO,0.01,0.03,F,VVS1,EX,830, 8/30/2024
RO,0.01,0.03,F,VVS2,EX,830, 8/30/2024
RO,0.01,0.03,F,VS1,EX,730, 8/30/2024
RO,0.01,0.03,F,VS2,EX,730, 8/30/2024
RO,0.01,0.03,F,SI1,EX,640, 8/30/2024
RO,0.01,0.03,F,SI2,EX,560, 8/30/2024
RO,0.01,0.03,F,SI3,EX,490, 8/30/2024
RO,0.01,0.03,F,I1,EX,430, 8/30/2024
RO,0.01,0.03,F,I2,EX,350, 8/30/2024
RO,0.01,0.03,F,I3,EX,280, 8/30/2024
RO,0.01,0.03,G,IF,EX,710, 8/30/2024
RO,0.01,0.03,G,VVS1,EX,710, 8/30/2024
RO,0.01,0.03,G,VVS2,EX,710, 8/30/2024
